,country,id,name,lon,lat,temp,humidity,cloudiness,windspeed
0,PL,757178,Szydlowiec,20.861,51.228,37.99,86,92,4.72
1,DE,2951024,Bennhausen,7.983,49.617,47.82,57,75,9.17
2,RO,672955,Mogosani,25.400,44.683,46.40,81,12,4.70
3,CH,6291215,Hochfelden,8.516,47.523,50.00,81,75,13.87
4,IT,3172700,Montiano,12.308,44.086,56.61,58,0,5.82
5,CF,236887,PrÃ©fecture de la Ouaka,21.000,6.000,84.52,69,68,10.98
6,CL,3877770,Paiguano,-70.533,-30.017,57.20,87,90,2.24
7,IT,3178550,Claviere,6.753,44.940,53.60,62,48,4.70
8,FR,2972868,Thiel-sur-Acolin,3.581,46.523,55.04,76,90,9.17
9,US,4318812,Campti,-93.118,31.893,70.54,83,75,10.29
10,FR,2971169,Vailly-sur-Aisne,3.516,49.408,50.05,99,92,16.46
11,CH,2661663,Auw,8.366,47.211,50.00,76,20,1.12
12,KZ,1520196,Pervorosiyskiy,83.849,49.716,37.68,90,0,2.04
13,JP,1859472,Kimiidera,135.200,34.183,62.28,72,0,16.11
14,IN,1264111,Maler Kotla,75.883,30.517,90.24,38,0,7.74
15,AT,2782118,Ausservillgraten,12.431,46.787,42.80,60,20,1.70
16,CN,1924937,Jinqiao,115.909,28.970,65.53,74,76,3.60
17,US,5114252,Crown Heights,-73.938,41.637,34.68,93,90,3.36
18,US,4475773,Lexington,-80.253,35.824,45.90,100,75,9.98
19,PH,1725623,Belance,121.250,16.183,68.23,86,76,1.36
20,GB,2641511,Newtownstewart,-7.379,54.718,41.00,86,40,16.11
21,FR,6451504,Montferrat,6.483,43.617,61.77,71,0,6.93
22,FR,6431042,Saint-Ã‰varzec,-4.017,47.933,49.26,71,75,18.34
23,RU,2013952,Ust-Ilimsk,102.662,58.001,32.68,70,92,10.76
24,FR,6612928,Montmagny,2.350,48.967,52.70,93,76,11.41
25,MX,3815392,Zacatelco,-98.239,19.215,41.64,85,0,2.26
26,CO,3689002,BelÃ©n,-75.600,6.217,59.00,93,75,3.36
27,BG,6459671,Poleto,23.183,41.867,36.69,85,92,2.37
28,FI,650095,Kurikka,22.417,62.617,30.20,50,40,9.17
29,PL,3087895,Przyborow,15.769,51.800,32.00,100,90,11.41
30,NL,2746350,Gemeente Tholen,4.124,51.577,44.60,93,75,4.70
31,DE,2811296,Wendelsheim,8.833,48.500,51.80,62,75,19.46
32,PL,7533158,DÄ™bno,14.695,52.741,37.72,95,92,17.58
33,FR,3021550,Desaignes,4.514,44.995,57.20,62,75,9.17
34,US,4099141,Airport Village,-91.195,35.638,55.76,100,100,6.93
35,AU,2161732,Keera,150.783,-29.983,64.27,85,0,5.84
36,CN,2038438,Baoshan,131.424,46.559,38.04,44,0,10.98
37,EG,358115,Dishna,32.476,26.125,89.83,45,12,8.97
38,IT,3168301,San Giorgio di Pesaro,12.979,43.717,60.12,58,0,5.82
39,AU,2142409,Yatala,153.217,-27.717,73.38,73,0,10.29
40,FR,2973758,Subligny,-1.367,48.745,46.40,93,90,21.92
41,IT,3172350,Conscenti,9.395,44.345,54.46,76,40,4.70
42,IN,1275601,Biloli,77.733,18.767,99.10,21,8,3.38
43,US,4199778,Hazlehurst,-82.594,31.870,54.97,93,1,8.19
44,FR,3029872,Brouqueyran,-0.175,44.484,55.42,93,90,20.80
45,FR,2997947,Locquirec,-3.646,48.692,48.18,76,75,21.92
46,TH,1119013,Ban Mae Wan,99.234,18.963,93.20,28,20,4.70
47,GB,2656575,Balintore,-3.912,57.756,42.71,70,20,11.41
48,DE,2940202,Landkreis Cham,12.683,49.245,42.80,87,90,11.41
49,DE,2809285,Wiesenau,9.733,52.417,40.08,93,75,9.17
50,DE,2930996,Ellern,7.633,49.983,45.55,93,75,11.41
51,DE,2944028,Britz,13.811,52.887,33.80,95,75,9.17
52,FR,2988356,Arrondissement de Pau,-0.583,43.417,58.55,67,20,11.41
53,ES,6356994,Castellnovo,-0.453,39.849,77.00,25,0,4.70
54,US,5503766,Enterprise,-115.242,36.025,52.16,22,20,11.41
55,AU,7281804,North Melbourne,144.948,-37.803,62.56,88,90,11.41
56,IN,1263752,Mangrol,70.117,21.117,85.69,52,32,15.23
57,AU,2166856,Farley,151.517,-32.733,71.60,83,0,8.05
58,RU,823639,Tokh-Aul,39.647,43.807,59.00,72,75,8.95
59,CN,1917139,Banjiang,114.555,24.039,68.32,81,8,4.05
60,DE,2957763,Landkreis Altenburg,12.417,51.000,45.41,81,90,8.05
61,US,4081197,Ohatchee,-86.002,33.783,54.99,100,1,3.36
62,AT,3319569,Gschnitz,11.367,47.050,46.44,70,75,3.36
63,NL,2759746,Anloo,6.701,53.044,45.84,93,90,8.05
64,FR,6615685,Charroux,3.162,46.185,57.20,62,75,20.80
65,PL,3096795,Kamieniec Zabkowicki,16.879,50.525,41.00,86,20,17.22
66,GB,2633823,Wingfield,-2.253,51.309,40.50,100,40,12.75
67,RU,6314508,Shadrikha,83.199,54.812,33.80,59,0,11.18
68,ES,6356416,Contreras,-3.434,42.028,51.80,43,0,19.46
69,MX,3995652,Mocorito,-107.917,25.483,54.19,61,0,5.95
70,PT,2743076,Alhadas,-8.791,40.186,57.20,71,75,4.70
71,CH,6295131,Seen (Kreis 3) / Waldegg,8.756,47.484,50.02,81,90,4.70
72,BR,3446718,Taruma,-50.577,-22.747,73.23,90,88,6.96
73,MX,3981369,Tonala,-103.233,20.617,55.40,58,5,2.26
74,US,4504131,Silver Ridge,-74.218,39.959,37.42,93,90,4.70
75,FR,2969926,Vergigny,3.719,47.971,51.80,93,92,18.34
76,TZ,161290,Bagamoyo,38.900,-6.433,83.58,85,44,4.38
77,DE,6548394,Wendisch Priborn,12.283,53.333,37.40,74,75,17.22
78,IT,3176959,Firenze,11.250,43.767,57.20,62,75,2.24
79,US,5014208,Waverly,-84.621,42.739,39.00,86,90,5.17
80,DE,2934739,Dudendorf,12.584,54.091,37.40,74,75,17.22
81,IT,3169872,Predore,10.014,45.681,54.52,66,12,4.70
82,DE,2863014,Nieder-Olm,8.205,49.912,47.71,76,75,16.11
83,IQ,99308,â€˜AlÄ« al Aá¸©mad,44.050,33.067,91.40,21,0,16.11
84,RU,480608,Tukhkala,30.783,65.700,23.91,66,8,4.72
85,FR,6445198,Saint-Hilaire-de-Loulay,-1.333,47.000,51.80,100,90,16.11
86,FR,2978325,Saint-Martin-de-Valgalgues,4.084,44.163,63.77,52,40,8.05
87,DE,6547616,Waldsieversdorf,14.069,52.542,33.80,95,75,11.41
88,ID,7035853,Ngroto,111.605,-7.126,73.45,97,76,4.72
89,DE,2894754,Johannis-Vorstadt,11.467,51.750,44.60,93,90,5.82
90,DE,6552115,Leezen,10.250,53.867,37.78,94,75,13.87
91,DE,2915048,GroÃŸ SchwaÃŸ,12.050,54.083,37.40,74,75,17.22
92,FR,6438425,Quarouble,3.617,50.383,43.39,100,92,5.82
93,RU,463001,Zhilploshchadka,39.950,48.333,40.38,100,0,6.29
94,US,5830426,Linstead Place,-106.523,43.582,21.34,87,56,2.71
95,VE,3807669,La Clarita,-61.417,6.173,67.60,95,88,2.93
96,AR,3429014,Departamento de San Ignacio,-55.333,-27.250,68.94,100,40,2.71
97,RU,1507390,Dikson,80.546,73.507,-7.42,76,20,8.75
98,CA,6324733,St. Johns,-52.709,47.565,33.87,90,90,14.99
99,DZ,2487293,Mohammadia,0.069,35.589,67.14,63,0,2.48
100,US,4901622,McDonough County,-90.667,40.467,35.60,93,90,3.15
101,US,4392768,Joplin,-94.513,37.084,44.17,100,90,8.05
102,DE,2866576,Neitersen,7.567,50.683,45.50,76,75,8.05
103,IN,1263504,Markapur,79.283,15.733,89.29,56,24,3.38
104,FR,2970901,Valliquerville,0.687,49.614,51.80,87,80,16.11
105,DE,2947328,Bockholt,7.267,51.500,48.20,70,75,9.17
106,IN,1258677,Ramgarh,75.183,27.250,97.93,10,0,7.74
107,RU,555171,Ivanovskoye,36.960,55.927,26.58,45,40,11.18
108,FR,2980238,Saint-Etienne-du-Gres,4.722,43.781,63.88,52,0,8.19
109,ID,7912070,Cipanggilingan,107.816,-7.266,68.95,86,20,2.26
110,DE,2863156,Niederlindach,10.891,49.646,49.48,76,75,14.99
111,DE,2941486,Burgau,9.533,48.133,48.65,71,75,16.11
112,MN,2029735,Ogoomor,104.481,43.783,48.21,22,0,8.97
113,NL,2758309,Britsum,5.786,53.254,43.50,87,90,9.17
114,RU,509850,Petrovskoye,39.269,57.010,23.32,91,12,9.42
115,ES,3125355,Cerezo de Abajo,-3.591,41.218,60.80,38,0,4.70
116,US,4617668,Decherd,-86.079,35.210,60.06,77,90,8.05
117,DE,2850403,Ranzin,13.528,53.949,37.40,59,0,12.75
118,DE,2866336,Nettersheim,6.633,50.500,45.18,71,75,10.29
119,IT,3182765,Arzano,14.267,40.914,57.13,67,40,8.05
120,DE,2906761,Hellstein,9.300,50.317,48.20,76,75,16.11
121,DE,2933800,Eching,11.853,48.283,50.90,57,75,12.75
122,US,5238755,Morristown,-72.624,44.557,35.38,80,90,3.36
123,AT,7871603,Lackenbach,16.446,47.617,46.40,75,75,2.24
124,GB,2648149,Great Bridgeford,-2.173,52.841,41.61,86,75,6.93
125,RU,2125626,Gastello,142.967,49.117,38.44,84,0,9.53
126,NG,2322021,Tokombere,13.486,11.227,103.38,18,8,14.67
127,ES,6355589,RÃ¡gol,-2.695,37.013,60.80,82,0,4.70
128,BD,1205481,Uttar Char Fasson,90.713,22.233,86.41,59,0,10.98
129,FR,6441162,Illkirch-Graffenstaden,7.717,48.529,51.80,71,90,10.29
130,US,4711156,Midlothian,-96.994,32.482,57.76,100,90,8.05
131,VN,1572151,Nha Trang,109.183,12.250,76.33,90,24,9.31
132,ID,1637482,Lodan Wetan,111.609,-6.785,77.46,100,68,6.62
133,DE,6556796,Wiesenthau,11.133,49.717,48.29,76,75,14.99
134,PK,1168680,Pabbi,71.799,34.011,91.40,21,0,9.17
135,YE,30788,Ad Dil,43.818,14.672,86.41,24,64,2.59
136,CN,7643670,Wushan,115.656,29.452,63.24,72,56,3.94
137,CH,7285140,Balerna,9.008,45.843,53.87,58,0,2.24
138,RU,817767,Rozhdestvenskiy,37.576,54.301,24.85,84,0,8.63
139,ES,6357299,Coristanco,-8.770,43.172,51.76,93,75,10.29
140,RU,1493423,Russkaya Polyana,73.881,53.779,29.94,93,12,9.53
141,CZ,3071627,Loket,12.754,50.186,41.29,100,90,3.36
142,PT,8014240,Rio de Couros,-8.506,39.728,57.20,71,75,4.70
143,NZ,2193863,Aramoho,175.050,-39.917,64.23,100,88,13.22
144,PG,2090990,Mendi,143.651,-6.176,55.09,100,76,1.14
145,RO,671418,Paltinoasa,25.950,47.550,42.80,75,40,2.15
146,ES,3108132,Terriente,-1.504,40.297,71.60,31,0,9.17
147,US,5801520,Long Beach,-124.054,46.352,45.63,93,90,3.36
148,TR,749262,SÃ¼leymanlar Mahallesi,31.410,41.290,62.60,67,75,6.93
149,AT,7872166,Pfaffing,13.467,48.019,42.60,76,75,11.41
150,ES,2522299,Ajofrin,-3.982,39.711,62.60,29,0,6.93
151,ES,6357153,Navalpino,-4.616,39.252,66.25,60,0,6.40
152,PH,1686066,Siquijor,123.515,9.214,82.23,100,8,7.52
153,US,4516931,Lockland,-84.458,39.229,52.70,100,90,2.59
154,CH,7286761,Ostermundigen,7.496,46.956,50.58,71,75,11.41
155,AT,7873049,Waidhofen an der Thaya,15.322,48.817,39.20,96,75,8.05
156,PK,1167142,Ranipur,68.505,27.288,102.20,26,0,6.93
157,DE,3232620,AltstÃ¤dter GÃ¤rten,9.642,54.311,38.28,69,75,13.87
158,PE,3945985,Camana,-72.711,-16.623,66.25,98,8,5.28
159,DE,2955925,Ansiedlung Mettenhof,10.067,54.317,38.30,93,90,10.29
160,RU,804039,Voskresenskiy,37.322,44.966,50.00,81,40,2.24
161,FR,6443840,Saint-Pierre-lÃ¨s-Nemours,2.683,48.267,51.80,100,92,17.22
162,CH,2660075,Lachen,8.856,47.192,50.31,81,90,4.70
163,IT,6538581,San Giuliano Terme,10.440,43.762,56.55,62,75,3.36
164,IN,7287889,Palackattumala,76.629,9.744,91.40,59,40,9.17
165,PH,1722186,Butuan,125.544,8.949,78.54,97,48,10.76
166,ES,6360537,Santiz,-5.888,41.210,59.00,26,0,20.80
167,US,4309076,South Shore,-82.958,38.721,55.40,93,90,4.70
168,CN,1797782,Qingshanhu,119.812,30.251,73.40,46,0,8.95
169,AT,7871577,Rohrbach bei Mattersburg,16.434,47.696,46.40,75,75,2.24
170,SO,64013,Boosaaso,49.182,11.284,80.60,78,0,9.17
171,NG,2338772,Igbeti,4.133,8.750,98.43,43,20,4.94
172,BO,3910203,Mojotoro,-65.067,-18.917,48.79,100,92,2.93
173,RU,2024212,Gakhan,110.850,54.700,20.26,62,32,3.71
174,DE,2938701,Dautphe,8.533,50.850,45.77,100,90,9.17
175,US,5182434,Burnham,-77.569,40.639,36.59,100,90,2.71
176,DE,2940696,BÃ¼ÃŸfeld,9.000,50.700,45.34,71,75,6.93
177,FR,6433469,Vizille,5.772,45.078,52.66,81,75,3.36
178,RU,556951,Ilskiy,38.567,44.842,48.20,81,90,4.47
179,CH,6458757,District de la Neuveville,7.111,47.096,49.98,76,90,4.70
180,DE,2803624,Zweenfurth,12.550,51.333,42.67,93,90,5.82
181,SS,366444,Tambura,27.467,5.600,89.11,58,76,8.63
182,RO,674885,Leordeni,25.117,44.783,47.89,82,48,3.71
183,FR,3037531,Annet-sur-Marne,2.720,48.927,52.83,93,75,16.11
184,CH,7285155,BÃ¤retswil,8.872,47.338,50.02,87,90,9.17
185,DE,2863523,Niederdorf,12.783,50.733,41.94,100,90,3.36
186,IT,3170019,Povegliano Veronese,10.881,45.349,54.75,58,36,3.36
187,ID,7035314,Kamulan,112.291,-8.081,77.19,73,12,7.63
188,DE,2840903,Schackendorf,10.267,53.967,37.76,86,75,10.29
189,FR,3035033,Barberaz,5.933,45.550,53.19,76,90,11.41
190,AU,2145619,Tyntynder,143.467,-35.233,61.89,74,0,2.93
191,US,4258477,Hancock County,-85.769,39.785,46.06,100,90,6.93
192,FR,3036034,Auriac,3.117,44.933,48.20,93,90,11.41
193,FR,2975741,Saussan,3.775,43.572,62.64,51,0,16.11
194,RU,581756,Anikin Pochinok,42.590,59.440,19.36,94,24,7.07
195,DE,6556407,Petting,12.817,47.917,48.20,76,75,11.41
196,DE,2822536,Thurkow,12.567,53.833,37.40,74,75,17.22
197,PL,3084440,Strzegom,16.350,50.963,41.00,100,20,17.22
198,ES,6362575,Olmillos de Castro,-5.973,41.734,60.67,46,20,12.44
199,FR,3005182,Le Bosc-Roger-en-Roumois,0.933,49.283,52.21,87,92,16.11
200,BY,629092,Dzyerawnaya,25.483,53.200,35.43,62,88,4.38
201,FR,3031017,Bourg-de-Thizy,4.299,46.034,56.75,76,90,9.17
202,FR,2993726,Miremont,1.417,43.370,59.00,62,75,12.75
203,XK,788543,Lebushe,20.291,42.563,46.40,96,20,4.70
204,PT,2733456,Tourais,-7.750,40.471,57.25,75,32,3.15
205,PH,1728382,Balatero,120.924,13.502,75.52,85,24,3.27
206,AT,7873133,Bad Ischl,13.622,47.713,48.20,76,75,11.41
207,VE,3630826,Papelon,-69.460,8.941,73.14,87,92,3.71
208,UA,699328,Novopokrovka,36.548,49.843,35.60,80,90,4.47
209,PH,1691645,Rizal,124.579,11.176,79.03,100,56,15.79
210,RO,671676,Ortisoara,21.198,45.964,49.96,53,20,1.12
211,CH,2658484,Steinhaus,7.342,46.834,48.76,71,75,11.41
212,DE,2888686,KleinjÃ¶rl,9.317,54.600,37.69,94,75,12.75
213,IT,3172830,Montemonaco,13.333,42.898,57.20,54,0,3.36
214,FR,6445760,Taintrux,6.900,48.250,49.39,71,90,10.29
215,IE,2965694,Carrigtwohill,-8.263,51.908,44.60,65,75,16.11
216,ES,6534058,FoixÃ ,2.997,42.039,62.60,63,0,1.12
217,DE,2939040,Dangstetten,8.333,47.600,51.33,76,90,4.70
218,NZ,2206854,Gisborne,178.004,-38.653,60.13,89,20,7.63
219,IT,6534983,Marcignago,9.079,45.253,54.30,66,40,2.24
220,GB,7290569,Watford District,-0.403,51.669,40.28,86,90,5.82
221,US,5764690,Fall River County,-103.550,43.267,38.37,64,90,8.05
222,RU,543917,Kostâ€™kovo,35.931,56.485,25.84,92,64,5.28
223,UA,712048,Blizhniye Kamyshi,35.400,45.083,47.98,96,12,7.52
224,AU,2150724,Sailors Falls,144.133,-37.400,62.60,88,90,9.17
225,AR,3853643,Isla Verde,-62.403,-33.241,62.02,76,0,6.73
226,DE,2823850,Tauberschallbach,10.350,49.200,48.69,70,75,20.80
227,DE,2841558,Sankt Julian,7.517,49.617,45.03,93,75,11.41
228,RU,583731,Staraya Akkermanovka,58.239,51.247,37.40,86,0,17.90
229,FR,2986746,Pleyber-Christ,-3.867,48.500,49.10,71,75,21.92
230,RO,680092,Crucea,28.233,44.533,48.20,66,20,8.05
231,IN,1272243,Dam Dam,88.417,22.622,96.80,41,20,12.75
232,DO,3512067,Bani,-70.333,18.283,75.88,100,0,23.51
233,ES,3112691,Puertomingalvo,-0.458,40.264,68.73,24,0,6.06
234,PL,3085134,Sosno,17.687,53.389,35.60,59,0,12.75
235,ES,2517748,FÃ©lix,-2.658,36.869,60.80,82,0,4.70
236,MX,3523247,Miacatlan,-99.367,18.767,42.80,75,5,3.36
237,MQ,3570186,Petit BrÃ©sil,-60.967,14.733,69.80,88,0,4.70
238,AT,7872744,Mischendorf,16.296,47.204,44.74,93,64,4.72
239,DE,6556359,Edling,12.167,48.067,49.87,57,75,12.75
240,TR,317970,Ozvatan,35.700,39.107,69.80,26,75,6.93
241,PT,2734770,Sanhoane,-7.800,41.203,54.01,78,64,3.38
242,CN,1805619,Jingling,120.783,29.373,58.74,74,0,2.48
243,FR,2999046,Leucate,3.029,42.911,61.34,52,0,13.87
244,FR,2974383,Soisy-sur-Seine,2.452,48.649,52.83,93,75,16.11
245,ES,6358105,Asteasu,-2.100,43.205,59.34,59,75,8.05
246,ID,7035669,Tanjung Timur,111.499,-7.187,73.45,97,76,4.72
247,AT,7873237,Gramastetten,14.190,48.380,37.40,93,75,6.93
248,PH,1711030,Ilog,122.768,10.027,79.26,73,64,5.28
249,ES,3123531,El Corrillo,-3.133,43.233,60.15,59,75,5.82
250,FR,2978198,Saint-Mathurin,-1.714,46.565,51.80,93,90,16.11
251,GB,2652622,Coity,-3.555,51.522,42.80,87,75,13.87
252,RU,530675,Maloluchinskoye,39.867,56.517,23.32,90,0,8.52
253,DE,2856161,Ã–tinghausen,8.617,52.150,45.32,93,75,5.82
254,RU,503308,Rabochiy PosÃ«lok,36.283,56.500,25.84,92,64,5.28
255,FR,6429077,Plouguiel,-3.233,48.800,48.20,76,75,21.92
256,ES,6358506,Lopera,-4.226,37.963,62.60,63,0,3.36
257,ES,6359405,Tres Cantos,-3.707,40.611,61.84,42,0,8.05
258,ES,2512408,Porcuna,-4.185,37.871,62.60,63,0,3.36
259,PL,770028,Joniec,20.582,52.601,37.40,55,75,8.05
260,US,4881346,West Des Moines,-93.745,41.572,29.48,100,90,2.93
261,ID,7780520,Penikebon,106.088,-6.342,82.40,88,75,9.17
262,ID,8080017,Tugurejo Satu,112.380,-8.289,82.36,90,80,7.52
263,DE,2851074,Radeburg,13.728,51.215,41.00,86,90,9.17
264,AU,2075308,Burra,138.933,-33.667,64.00,69,0,6.51
265,US,4159050,Homestead,-80.478,25.469,69.84,68,20,11.41
266,ES,3120221,Izurtza,-2.633,43.150,58.96,59,75,5.82
267,US,4474383,Kings Grant,-77.861,34.264,42.28,93,1,3.36
268,BR,6322065,SÃ£o GonÃ§alo,-43.041,-22.816,76.98,78,40,3.36
269,ES,2517298,Gata de Gorgos,0.085,38.774,64.90,71,0,2.48
270,FR,2971493,Tuffe,0.516,48.113,53.60,87,90,12.75
271,CA,6156822,Stirling,-77.549,44.300,37.11,100,90,2.24
272,BG,731100,Gyovren,24.230,41.400,51.80,81,75,9.17
273,US,5362909,Kerman,-120.060,36.724,48.87,71,0,3.36
274,TZ,157198,Kiomboi,34.367,-4.267,78.63,79,36,4.61
275,MA,2569452,Oulad Kerroum,-6.952,33.854,64.40,68,0,4.70
276,AR,3430457,Navarro,-59.277,-35.006,63.64,89,0,7.96
